売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
88472,210403,45,株式会社アイワライフネット                      ,ニュー三喜マンション　201号室                   ,防災,1,,,,,,,,,,,,
88494,210403,279,オリエントホームズ株式会社                      ,山本様邸                                        ,電気,1,,,,,,,,,,,,
88446,210402,A79,魚谷メンタルクリニック                          ,魚谷メンタルクリニック　様                      ,防災,1,,,,,,,,,,,,
88557,210402,15,泉州防災株式会社                                ,ライオンズマンション中松江分　納品              ,防災,1,,,,,,,,,,,,
88473,210402,45,株式会社アイワライフネット                      ,ウエストヴィレッジ2000Ⅱ                        ,防災,1,,,,,,,,,,,,
88547,210401,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
88548,210401,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
88535,210401,259,アサカワリフォーム株式会社                      ,よつば動物病院改修工事                          ,電気,1,,,,,,,,,,,,
88405,210331,15,泉州防災株式会社                                ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88404,210331,199,株式会社アイセン                                ,株式会社アイセン様                              ,管,1,,,,,,,,,,,,
88391,210331,207,ニッタン株式会社　和歌山営業所                  ,(仮称)NTBすさみ新築工事                         ,防災,1,,,,,,,,,,,,
88453,210331,259,アサカワリフォーム株式会社                      ,百楽分　ダクト消火設備撤去工事                  ,防災,1,,,,,,,,,,,,
88452,210331,314,和歌山市長　尾花　正啓                          ,消防設備整備業務委託工事                        ,防災,1,,,,,,,,,,,,
88402,210331,396,大和リビング株式会社　和歌山営業所              ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88418,210331,419,綜合警備保障株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88459,210331,419,綜合警備保障株式会社                            ,志茂合繊メリヤス㈱                              ,防災,1,,,,,,,,,,,,
88439,210331,616,メディカルメイト株式会社                        ,納品                                            ,防災,1,,,,,,,,,,,,
88392,210331,652,小川電機株式会社　貝塚営業所                    ,ＡＬＬＡＧＩ堺店                                ,防災,1,,,,,,,,,,,,
88454,210331,697,有料老人ホーム　かしの木苑                      ,粉末ABC10型消火器                               ,防災,1,,,,,,,,,,,,
88450,210331,729,ＡＬＳＯＫビルサービス株式会社                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88396,210331,751,岡野消防設備株式会社                            ,123＋Nはりまや橋店                              ,防災,1,,,,,,,,,,,,
88399,210331,751,岡野消防設備株式会社                            ,123+N岡山本店                                   ,防災,1,,,,,,,,,,,,
88400,210331,751,岡野消防設備株式会社                            ,123有田店                                       ,防災,1,,,,,,,,,,,,
88401,210331,751,岡野消防設備株式会社                            ,ホームズ尼崎店                                  ,防災,1,,,,,,,,,,,,
88437,210331,751,岡野消防設備株式会社                            ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88445,210331,751,岡野消防設備株式会社                            ,123南昭和店                                     ,防災,1,,,,,,,,,,,,
88451,210331,751,岡野消防設備株式会社                            ,123南昭和店                                     ,防災,1,,,,,,,,,,,,
88420,210331,889,株式会社森田工務店                              ,コメリパワー新宮店新築工事                      ,防災,1,,,,,,,,,,,,
88465,210331,A10,ＫＳＣ株式会社                                  ,JOYFIT　東大阪　原状復旧工事                    ,防災,1,,,,,,,,,,,,
88460,210331,A65,共同産業株式会社　東京オフィス                  ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
88435,210330,616,メディカルメイト株式会社                        ,済生会千里病院                                  ,防災,1,,,,,,,,,,,,
88438,210330,751,岡野消防設備株式会社                            ,123大林店                                       ,防災,1,,,,,,,,,,,,
88422,210329,141,株式会社オーティーエル                          ,天満シミズビル　1階　新時代　天満店             ,防災,1,,,,,,,,,,,,
88436,210329,419,綜合警備保障株式会社                            ,㈱スズキ自販和歌山西浜店                        ,防災,1,,,,,,,,,,,,
88397,210329,751,岡野消防設備株式会社                            ,カーサdiポルタ                                  ,防災,1,,,,,,,,,,,,
88427,210329,A55,株式会社　小薮設備                              ,東和中学校・和歌浦小学校                        ,電気,1,,,,,,,,,,,,
88389,210327,639,公立大学法人和歌山県立医科大学                  ,令和2年度病修第247号                            ,防災,1,,,,,,,,,,,,
88390,210327,639,公立大学法人和歌山県立医科大学                  ,令和2年度学修第91号                             ,防災,1,,,,,,,,,,,,
88388,210326,872,和歌山電工株式会社                              ,注文番号：Q583MO                                ,防災,1,,,,,,,,,,,,
88403,210326,934,有限会社 中川電設工業                           ,医療法人慈愛会勝田胃腸内科外科医院              ,防災,1,,,,,,,,,,,,
88448,210325,505,神樂防災株式会社                                ,現場応援費                                      ,防災,1,,,,,,,,,,,,
88464,210325,A10,ＫＳＣ株式会社                                  ,KYD神戸支店改修工事分　納品                     ,防災,1,,,,,,,,,,,,
88387,210324,314,和歌山市長　尾花　正啓                          ,中央卸売市場                                    ,防災,1,,,,,,,,,,,,
88394,210324,751,岡野消防設備株式会社                            ,123浜野店                                       ,防災,1,,,,,,,,,,,,
88412,210323,15,泉州防災株式会社                                ,りんくうエルガビル                              ,防災,1,,,,,,,,,,,,
88424,210322,705,株式会社　春台設備                              ,寺田萬寿病院                                    ,管,1,,,,,,,,,,,,
88407,210320,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
88410,210320,15,泉州防災株式会社                                ,イオンモールりんくう泉南　納品                  ,防災,1,,,,,,,,,,,,
88345,210320,45,株式会社アイワライフネット                      ,消防設備保守点検                                ,防災,1,,,,,,,,,,,,
