売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,                                                                                                                                            ,
2020/8/22,87559,279,   ,
2020/8/22,87454,396,   ,
2020/8/21,87445,15,   ,
2020/8/21,87545,36,   ,
2020/8/21,87517,292,   ,
2020/8/21,87447,704,   ,
2020/8/20,87392,45,   ,
2020/8/20,87421,48,   ,
2020/8/20,87412,60,   ,
2020/8/20,87429,292,   ,
2020/8/20,87440,378,   ,
2020/8/20,87441,546,   ,
2020/8/20,87547,630,   ,
2020/8/19,87390,45,   ,
2020/8/19,87428,292,   ,
2020/8/19,87462,751,   ,
2020/8/19,87482,816,   ,
2020/8/18,87423,48,   ,
2020/8/18,87409,152,   ,
2020/8/18,87396,354,   ,
2020/8/17,87448,15,   ,
2020/8/15,87451,15,   ,
2020/8/15,87479,728,   ,
2020/8/12,87439,19,   ,
2020/8/11,87374,45,   ,
2020/8/11,87375,45,   ,
2020/8/11,87369,581,   ,
2020/8/10,87436,48,   ,
2020/8/10,87570,132,   ,
2020/8/7,87435,60,   ,
2020/8/7,87433,132,   ,
2020/8/7,87443,555,   ,
2020/8/7,87481,705,   ,
2020/8/7,87457,751,   ,
2020/8/7,87417,1051,   ,
2020/8/6,87450,15,   ,
2020/8/6,87437,38,   ,
2020/8/6,87371,634,   ,
2020/8/6,87456,751,   ,
2020/8/6,87459,751,   ,
2020/8/6,87490,751,   ,
2020/8/6,87432,763,   ,
2020/8/5,87444,15,   ,
2020/8/5,87414,38,   ,
2020/8/5,87434,38,   ,
2020/8/5,87364,131,   ,
2020/8/5,87367,639,   ,
2020/8/5,87368,639,   ,
2020/8/5,87363,652,   ,
2020/8/5,87366,652,   ,
2020/8/4,87474,15,   ,
2020/8/4,87420,48,   ,
2020/8/4,87426,48,   ,
2020/8/4,87410,433,   ,
2020/8/4,87491,751,   ,
2020/8/3,87473,15,   ,
2020/8/3,87496,15,   ,
2020/8/3,87376,45,   ,
2020/8/3,87427,582,   ,
2020/8/3,87480,705,   ,
2020/8/3,87460,751,   ,
2020/7/31,87438,38,   ,
2020/7/31,87361,42,   ,
2020/7/31,87425,48,   ,
2020/7/31,87370,141,   ,
2020/7/31,87330,207,   ,
2020/7/31,87333,207,   ,
2020/7/31,87334,207,   ,
